Title,description,Annotator,Category,Sentiment
Judge strikes down Biden administration program shielding immigrant spouses from deportation,A federal judge has struck down a Biden administration policy that aimed to ease a path to citizenship for some undocumented immigrants who are married to U.S. citizens,Khyati,Domestic Affairs & Policy,Positive
"Biden Admin Obstructing Investigations Into Trafficking, Exploitation Of Migrant Children, Report Finds","The Biden-Harris administration is obstructing congressional and state investigations into the exploitation and trafficking of unaccompanied alien children, a Senate committee report found. Louisiana GOP Sen. Bill Cassidy, a ranking member of the Health, Educ",Khyati,Executive Affairs,Negative
Trump Judge Strikes Down Biden Immigration Law Days After Election,"Its already begun: On Thursday, a Trump-appointed federal judge struck down a vital Biden-era immigration policy that provided a pathway to citizenship for the thousands of undocumented immigrants who are married to U.S. citizens. The policy, which the Bid",Khyati,Domestic Affairs & Policy,Positive
"Lesson of Pennsylvania: Biden 2020 Was the Fluke, Not Trump in 2016","President-elect Donald Trumps win two weeks ago in Pennsylvania was always right in front of you if you were objectively listening to the concerns of... Read MoreThe post Lesson of Pennsylvania: Biden 2020 Was the Fluke, Not Trump in 2016 appeared first on",Khyati,Election,Negative
"Sidelined, Ignored, Forgotten: Joe Biden Irrelevant at His Last Major Global Summits","Outgoing President Joe Biden is expected to conclude what will likely be his final major international trip as president this week, leaving Latin America following a series of embarrassing episodes including his bizarre departure into the Amazon Rainforest an",Khyati,Foreign Policy & Relations,Negative
"Kamala Harris, Czarina of Failure","For Kamala Harris, failure is not an option. Its a governing principle. President Joe Biden has delegated at least four key responsibilities to his vice president.... Read MoreThe post Kamala Harris, Czarina of Failure appeared first on The Daily Signal.",Khyati,Election,Negative
The TV Moment That Might Have Been Kamala Harris Biggest Mistake,An exchange on The View exemplified Harris decision not to break with President Joe Biden more decisively.,Khyati,Election,Neutral
Biden White House Releases Newest Regulatory Cost-Benefit Report,"The Biden OMBs new report on federal regulations leaves many costs unquantified, while Trumps new term promises a ten-to-one rule elimination strategy. Buckle up.",Khyati,Executive Affairs,Negative
Joe Biden And Donald Trump Will Meet In The Oval Office On Wednesday,Trump did not host Biden for such a meeting after Trump lost the election in 2020.,Khyati,Executive Affairs,Neutral
"Analyzing Trumps cabinet picks so far. And, Bidens intimate view of the White House","President-elect Donald Trump has made a flurry of announcements about key cabinet members, at least one of which has come as a shock. And, President Biden provides an intimate view of the White House.",Khyati,Personality/Character,Neutral
Hunter Biden rides Disneys Dumbo with family in tow days after Trumps election victory,"First son Hunter Biden was spotted in the Happiest Place on Earth last week, enjoying the Dumbo ride in Disneyland with wife Melissa Cohen Biden and their son Beau Biden Jr. in one of his first public sightings since Vice President Kamala Harris defeat.",Khyati,Domestic Affairs & Policy,Neutral
Can Trumps return to White House be an opportunity for enhancing US-Turkey ties?,washington - Turkish President Recep Tayyip Erdogan was among the first foreign leaders to congratulate U.S. President-elect Donald Trump on his early November election victory.President Joe Biden has not hosted Erdogan at the White House though the two ha,Khyati,Foreign Policy & Relations,Neutral
Leaked intel on Israels Iran-strike plans takes White House war on Israel to a new level,Someone on the Kamala Harris-Joe Biden team seems to have tried to actively sabotage Israel by leaking top-secret US intel on Israels military plans to retaliate against Iran for its missile barrage this month.,Khyati,Foreign Policy & Relations,Negative
Biden-Harris DOJ Wants To Silence Surgeon Indicted After Blowing The Whistle On Child Sex Changes,The DOJ wants to place a gag order on the Texas surgeon indicted for blowing the whistle on a hospital performing sex changes on minors.,Khyati,Domestic Affairs & Policy,Negative
Breitbart Business Digest: Why Democrats Are Panicking Over Economic Sentiment,"The Biden campaign and the Harris campaign believed that sentiment around the economy would improve this year, depriving Trump of his best issue.The post Breitbart Business Digest: Why Democrats Are Panicking Over Economic Sentiment appeared first on Breitba",Khyati,Domestic Affairs & Policy,Negative
Biden Permits Ukraine to Use ATACMS System Against Russian Territory,State of the Union: The Biden administration had earlier deferred allowing these strikes due to Russian indication that they would be highly escalatory.The post Biden Permits Ukraine to Use ATACMS System Against Russian Territory appeared first on The Americ,Khyati,Foreign Policy & Relations,Neutral
Swing-state-stumping Rep. Byron Donalds pissed at Biden-Harris student loan forgiveness,"HARRISBURG, Pa. - Rep. Byron Donalds is no fan of President Biden and Vice President Kamala Harris moves to forgive student loan debt, and he made that abundantly clear in Pennsylvanias capital city last week. I think when the administration announced they",Khyati,Domestic Affairs & Policy,Negative
Nate Silver calls for Biden to resign and let Kamala Harris take over after his appearance in Amazon rainforest,Polling analyst Nate Silver joined the chorus of voices calling on President Joe Biden to resign after seeing the presidents public appearance in the Amazon rainforest. Silver said that the presidents refusal to take questions from the media at a precarious,Khyati,Election,Negative
Humanitarians Say Israel Failed To Improve Gaza Aid. The U.S. Still Wont Listen.,"Despite Israel not meeting U.S. demands to increase aid to Gaza within 30 days, the Biden administration will cross its own line and continue arming the military.",Khyati,Foreign Policy & Relations,Negative
The View Co-Host Gives Walz Chance to Clean Up Harris Answer on What Shed Do Differently Than Biden,The View co-host Sara Haines gave Democratic vice presidential candidate Tim Walz a chance Monday to clean up Vice President Kamala Harris answer on what... Read MoreThe post The View Co-Host Gives Walz Chance to Clean Up Harris Answer on What Shed Do,Khyati,Election,Negative
Biden Promises Trump The Smooth Transition That Trump Refused To Give Him,"The former president, now a convicted criminal but also president-elect, returned to the White House 46 months after leaving in disgrace.",Khyati,Executive Affairs,Positive
Biden Admin Moves To Forgive Multi-Billion Dollar Loan To Ukraine,"The Biden administration is planning to forgive roughly $4.7 billion that it loaned to Ukraine, the State Department announced on Wednesday.",Khyati,Foreign Policy & Relations,Neutral
"RFK Jr. Tapped To Head HHS, Trump & Government Bonds, Biden Meets Xi In Peru","President-elect Donald Trump selects vaccine skeptic Robert F. Kennedy Jr. to lead the Department of Health and Human Services. Bond markets are reacting to Trumps economic proposals, with fears of rising inflation and higher borrowing costs that could affec",Khyati,Domestic Affairs & Policy,Neutral
Everything Has Changed Now: Biden Spends Last Months In Office Gambling Risk Of Nuclear War With Russia,President Joe Biden may just have made his biggest escalatory gamble yet in the years-long Russia-Ukraine war.,Khyati,Foreign Policy & Relations,Negative
We All Know Why The Biden DOJ Is Ignoring Pennsylvania Democrats Election Lawbreaking,The DOJ refused to comment when asked if it was investigating Pennsylvania counties that disenfranchised voters by counting illegal ballots.,Khyati,Executive Affairs,Negative
"Marlow: Everyone Who Called People Fascist and Garbage Were Losers in 2024, Except Biden","On Fridays broadcast of the Fox News Channels Ingraham Angle, Breitbart Editor-in-Chief and host of The Alex Marlow Show Alex Marlow said everyone who called people fascist and garbage were losers in the 2024 election, in addition to those whoThe po",Khyati,Personality/Character,Neutral
Walz says Harris message absolutely clear after Bidens garbage remarks,Minnesota Gov. Tim Walz told Good Morning America Wednesday that Vice President Kamala Harris will deliver what Americans are hungry for -- a unifying president.,Khyati,Personality/Character,Negative
Bidens garbage comment is a gift to Trump,The ex-president seized on a verbal gaffe from Biden as he continues to rally his supporters against Harris 2024 candidacy.,Khyati,Election,Neutral
The US is on the cusp of a lithium boom to loosen Chinas grip on EVs,"The Biden administration is encouraging US lithium mining through a mix of loans, grants, and tax breaks.",Khyati,Domestic Affairs & Policy,Positive
RICHARD PORTER: Trump Was A Better President Than Biden And A Better Candidate Than Harris,Its a comeback story for the ages,Khyati,Personality/Character,Negative
Joe Bidens Garbage Gaffe Should Never Have Happened,"Biden has a long history as a gaffe factory. To many Democrats, the stakes of this election are too high to let him to speak off-the-cuff",Khyati,Personality/Character,Negative
How Biden Got Suckered by Putin,"Many Americans of my generation-born early 1950s-have been living with Bob Woodward our entire adult lives. You think Im speaking figuratively, but in my case its literally true: Way downstairs in a Nixon cupboard are my original hardback copies of All th",Khyati,Foreign Policy & Relations,Negative
"Trump highlights Bidens garbage comment, alleges fraud with Pennsylvania ballots","Former President Donald Trump climbed aboard a garbage truck in Green Bay, Wisconsin, highlighting a recent remark by President Biden in which he called Trump supporters garbage, which the administration later clarified. It comes as Trump fights off his own",Khyati,Personality/Character,Positive
We All Know Why The Biden DOJ Is Ignoring Pennsylvania Democrats Election Lawbreaking,The DOJ refused to comment when asked if it was investigating Pennsylvania counties that disenfranchised voters by counting illegal ballots.,Khyati,Executive Affairs,Negative
No Way to Spin It: Trump Team Responds to Biden Labeling Supporters Garbage,The Trump campaign condemned President Joe Bidens belief that supporters of former President Donald Trump are garbage.The post No Way to Spin It: Trump Team Responds to Biden Labeling Supporters Garbage appeared first on Breitbart.,Khyati,Personality/Character,Negative
Nevada lithium mine wins final approval despite potential harm to endangered wildflower,"For the first time under President Joe Biden, a federal permit for a new lithium mine in the U.S. has been approved",Khyati,Domestic Affairs & Policy,Negative
Nevadas Democrat Senate Candidate Distances Herself From Bidens Smear Of Trump Supporters As Garbage,"Nevadas Democrat Senate candidate is distancing herself from Joe Bidens claim that tens of millions of Trump supporters are human garbage, The Federalist has learned. While speaking on a virtual call with the left-wing Voto Latino on Tuesday night, the pr",Khyati,Personality/Character,Negative
Biden becomes first sitting US president to visit Amazon rainforest,"MANAUS, Brazil - Joe Biden on Sunday became the first sitting American president to set foot in the Amazon rainforest, as the incoming Trump administration seems poised to scale back the U.S. commitment to combating climate change.The massive Amazon, which",Khyati,Foreign Policy & Relations,Positive
Biden calls out Musk over report that the Tesla CEO once worked in the US illegally,"That wealthiest man in the world turned out to be an illegal worker here. No, Im serious. He was supposed to be in school when he came on a student visa. He wasnt in school, Biden claimed.",Khyati,Domestic Affairs & Policy,Neutral
Biden heckled by anti-Israel protester during swing-state apology for tribal boarding schools,How can you apologize for a genocide while committing a genocide in Palestine? a woman bellowed at the president.,Khyati,Domestic Affairs & Policy,Negative
Mark Cuban backtracks after urging Kamala Harris to fire Big Tech trust-buster Lina Khan if she wins White House,"PITTSBURGH - Billionaire businessman Mark Cuban backpedaled on his assessment of Bidens controversial Federal Trade Commission Chair Lina Khan Saturday, telling The Post that he doesnt want to influence personnel in a would-be Harris White House - after pre",Owen,Executive Affairs,Positive
Breach of Protocol: WH Press Officials Consulted Biden Before Improperly Changing Official Transcript of His Garbage Remark,"After consulting with President Joe Biden, White House press officials altered the official transcript of his Tuesday call in which he referred to former president Donald Trump supporters as garbage, a move the stenographers office supervisor labeled a tot",Owen,Executive Affairs,Negative
Trump Tries to Turn Bidens Garbage Gaffe Into Campaign Gold,"One mans trash is another mans treasure, and in the final week of the presidential election, Bidens garbage gaffe is shaping up to be a gift to Trump.",Owen,Personality/Character,Negative
Biden For The First Time OKs Ukraines Use Of US-Supplied Long-Range Missiles In Russia,President Joe Biden has for the first time authorized the use of U.S.-supplied long-range missiles by Ukraine to strike inside Russia.,Owen,Foreign Policy & Relations,Neutral
Biden-Harris White House Falsifies Transcript To Cover Up Bidens Garbage Slur Against GOP Voters,The White House fraudulently edited an official transcript in an attempt to cover up Biden calling Republican voters garbage on video.,Owen,Personality/Character,Negative
Trump MSG rallygoers sound off about Bidens garbage diss: Well take out the trash Nov. 5,"Im not garbage, Im a 45-year-old educated, healthy black man, said Remy Baron, 45, of Queens",Owen,Personality/Character,Negative
The economy is voters No. 1 issue - and Trumps record is his knock-out punch,"On almost all of the 20 or so measurements weve examined, Donald Trumps White House record on the economy was far superior to that of Joe Biden and Kamala Harris.",Owen,Domestic Affairs & Policy,Negative
"Harris strongly disagrees with criticism of people based on who they vote for, after Bidens garbage comment","In response to a question about Bidens garbage comment, Kamala Harris said she strongly disagrees with any criticism of people based on who they vote for.",Owen,Election,Negative
Hunter Biden frets about losing our democracy to a fascist minority after fathers garbage comment,First son Hunter Biden expressed grave concerns that a fascist minority within the US may rip away American democracy in an interview posted one day after his fathers controversial garbage comment.,Owen,Election,Positive
Harris plays clean up on Biden garbage comments,A racist joke about Puerto Rico that Tony Hinchcliffe told at a rally for Donald Trump is an issue in the Republicans campaign against Kamala Harris.,Owen,Election,Negative
Trump Responds to Biden Comment With Stunt That Is Literal Garbage,"In 2016, Donald Trump promised that he would drain the swamp. In 2024, hes circling the drain himself.The MAGA leaders campaign thought it could use a clever visual to respond to President Joe Bidens verbal gaffe on Wednesday, in which the 81-year-old ac",Owen,Election,Positive
CHUCK DEVORE: Biden Pentagon Directive On Military Intelligence Support For Law Enforcement Raises Alarming Concerns,DoD Directive 5240.01 blurs the bright line as to when intelligence assets can support law enforcement.,Owen,Executive Affairs,Negative
Harris Campaign Rally: Joe Biden Says He Wants to Smack Trumps Ass,"Only about 100 people showed up at a Harris campaign event in Scranton, Pennsylvania, to hear an angry President Joe Biden speak about smacking former President Donald Trump on the ass.The post Harris Campaign Rally: Joe Biden Says He Wants to Smack Trump",Owen,Personality/Character,Negative
Harris leans on McCain Republicans to close the deal in Arizona,Kamala Harris is aiming to defeat Donald Trump in battleground Arizona in the 2024 election by leaning on the John McCain Republicans who backed Joe Biden.,Owen,Election,Neutral
Watch: Jocelyn Nungarays Grieving Mom Joins Trump at Texas Rally,"The mother of Jocelyn Nungaray, the 12-year-old Houston, Texas, girl who was allegedly raped and murdered by two Venezuelan illegal migrants, joined former President Donald Trump at his Friday rally to bring attention to the tragedy enabled by the Biden-Harri",Owen,Domestic Affairs & Policy,Negative
A Trump Judge Just Nixed Overtime Pay for Millions-and Media Yawned,"You probably missed it, because it created barely a ripple in the media, but last Friday, a federal judge appointed by Donald Trump struck down one of President Bidens most pro-worker policies: his effort to ensure that far more Americans benefit from overti",Owen,Domestic Affairs & Policy,Positive
Latest Student Debt Cancellation Plan: An 11th-Hour Election-Buying Ploy at Taxpayer Expense,"Just days before the election, the Biden-Harris administration has rolled out yet another plan to cancel student debt-this time aiming to clear the loans of... Read MoreThe post Latest Student Debt Cancellation Plan: An 11th-Hour Election-Buying Ploy at Taxp",Owen,Domestic Affairs & Policy,Negative
Lucas: Biden blunders are deplorable,Joe Biden in a phrase did more to elect Donald Trump president than anybody else.,Owen,Personality/Character,Negative
Wisconsin Sen. Tammy Baldwin Appears To Have Sudden Change Of Heart On Trump Voters,The leftist senators campaign says Baldwin doesnt agree with President Joe Bidens garbage comments. But it appears she used to.,Owen,Election,Negative
Federal appeals court hands Biden-Harris DOJ big win in Jan. 6 criminal cases,"A federal appeals court upheld a misdemeanor trespass charge used against more than 1,400 defendants who protested at the U.S. Capitol on Jan. 6, but the issue could end up before the U.S. Supreme Court.In a 45-page ruling, a three-judge panel upheld the conv",Owen,Domestic Affairs & Policy,Positive
"Media Scandal: Politico Hauls Joe Bidens Garbage, Covers Up Smear of Trump Supporters","Leftwing Washington outlet Politico regularly carries water for Democrats, but Tuesday night they hauled President Joe Bidens garbage, attempting to cover up the presidents attack on Donald Trumps supporters by disingenuously chopping up his statement.T",Owen,Personality/Character,Negative
Biden-Harris Admin Promises Student Debt Cancellation Ad Infinitum,"Past is prologue when it comes to the student-loan policy of progressive grandees. Hoping to hear an adoring public applaud one last time, the Biden-Harris... Read MoreThe post Biden-Harris Admin Promises Student Debt Cancellation Ad Infinitum appeared first",Owen,Domestic Affairs & Policy,Negative
"EXCLUSIVE: Biden-Harris FTC Chair Lina Khan Weaponized Agency Against Elon Musk, House Report Says","The Chair of the Federal Trade Commission (FTC) weaponized the agency against Elon Musks Twitter, according to a House Judiciary report.",Owen,Executive Affairs,Negative
COVID-19 Misinformation: How Our Government Failed America,"Biden-Harris administration officials seriously misled the American people during the COVID-19 pandemic. In a detailed and devastating report, the Republican majority of the House Subcommittee... Read MoreThe post COVID-19 Misinformation: How Our Government",Owen,Domestic Affairs & Policy,Negative
Trump Takes Questions From Garbage Truck As Campaigns Seize On Each Others Garbage Remarks,The stunt was done in response to a comment made by President Joe Biden in which he criticized a disparaging comment about Puerto Rico made at Trumps recent New York rally and appeared to call Trumps supporters garbage.,Owen,Election,Negative
"Dems, Media Tried To Paint Trump As Too Old For Job After Covering For Biden - But Voters Arent Buying It","Democrats and media outlets tried to depict former President Donald Trump as too old to be president again, but polling data indicates that voters are not ...",Owen,Personality/Character,Negative
Security in shambles as ideologues wreak havoc in the Biden-Harris Pentagon,"An alarming situation is unfolding within the Biden-Harris administrations national security apparatus, with implications for the presidential election and a potential Harris-Walz administration. Over the weekend, someone within the U.S. government allegedly",Owen,Executive Affairs,Negative
"Trump bonds with indicted Mayor Eric Adams, who has also blamed Biden for his charges","Donald Trump commiserated with New York City Mayor Eric Adams, over their criminal indictments in his remarks at the Al Smith Dinner on Thursday.",Owen,Executive Affairs,Neutral
Memers guess what President Biden is really thinking during presser after Kamala Harris lost to Trump: Thrilled,"This is the look of a guy who just watched his carjacker get t-boned by a garbage truck, one user mused.",Owen,Personality/Character,Positive
Knives Immediately Come Out For Biden After Trump Defeats Harris,"In the immediate hours following Harris defeat, Democrats have already started to point fingers at President Joe Biden for the loss, according to Politico.",Owen,Election,Negative
Harris distances herself from Bidens garbage comment,"Kamala Harris continues to distance herself from Bidens garbage comment, telling ABC News she disagrees with any criticism of the people based on who they vote for.",Owen,Election,Negative
EXCLUSIVE: GOP Lawmakers Urge Biden Admin To Investigate Dem Rep With Deep China Ties,"Rep. Jim Banks urged the Biden admin to investigate a Chinese civic association linked to Rep. Grace Meng, according to a letter obtained by the DCNF.",Owen,Executive Affairs,Neutral
Biden Attempts To Clarify His Garbage Comment As Republicans Say It Insults All Trump Supporters,President Joe Biden on Tuesday appeared to describe Donald Trumps supporters as garbage while denouncing a disparaging remark about Puerto Rico at former President...,Owen,Personality/Character,Negative
"By Hobbling Alaska, Biden-Harris Admin Hinders Americas Energy Future","Take a hard look at the Biden-Harris administrations energy policy, which requires critical minerals yet bans their production in Alaska. One word comes to mind:... Read MoreThe post By Hobbling Alaska, Biden-Harris Admin Hinders Americas Energy Future app",Owen,Domestic Affairs & Policy,Negative
Biden to issue landmark apology over Native American boarding schools,"Bidens message, to come during a trip to Arizona, would be the first public apology from a sitting U.S. president in response to a federal policy that wreaked havoc on tribal communities.",Owen,Domestic Affairs & Policy,Positive
Report: White House Calls Lid on Joe Biden Appearing on Election Night,President Joe Biden (D) reportedly has no plans for public events as Election Day comes to a close with voters deciding who will be the next president of the United States.The post Report: White House Calls Lid on Joe Biden Appearing on Election Night appear,Owen,Election,Neutral
House Democrat says Trumps campaign has refused to commit to a smooth transition process,"The top Democrat on the House Oversight Committee, Rep. Jamie Raskin, is sounding the alarm over former President Donald Trumps failure to enter into key agreements with the Biden administration over the presidential transition process.",Owen,Election,Positive
Nikki Haley says Trump is clearly the better choice over Harris in new WSJ op-ed,"The world is unsafe under Biden-Harris, and we shouldnt expect that to change under a Harris administration, Haley wrote in the op-ed.",Owen,Election,Negative
"AI, North Korea, Trump: What Biden and Xi discussed in their final meeting","President Joe Biden met with Chinese President Xi Jinping on the sidelines of the APEC conference in Lima, Peru -- their last meeting of Bidens presidency.",Owen,Foreign Policy & Relations,Neutral
Democrats are vying for the support of rural voters in North Carolina,"North Carolina has more rural voters than any other 2024 presidential swing state. <br><br>As early voting continues across the state, canvassing groups are working to turn out voters - including in Nash County, a purple county President Biden won in 2020 and",Owen,Election,Neutral
GOP Resolution Targets Joe Biden for Smearing Trump Voters as Garbage,Congressional leaders are taking action against President Joe Biden (D) with a resolution after he insulted Trump supporters by calling them garbage.The post GOP Resolution Targets Joe Biden for Smearing Trump Voters as Garbage appeared first on Breitbar,Owen,Election,Negative
Nevada Republicans reject Biden trash dump on Trump voters: So now were deplorable garbage,"MESQUITE, Nev. - Voters in this largely GOP enclave in the northeast part of largely Democratic Clark County dont like President Biden dumping on them and their Trump-voting swing-state neighbors as garbage. White House attempts to walk back the garbage",Owen,Election,Negative
The big lie behind Bidens garbage gaffe scandal,"Joe Biden is no longer competent at speaking in public. This makes him a poor surrogate for Kamala Harriss campaign, but he is also the president, and therefore an extremely prominent surrogate for the Democratic nominee.  This generated a problem for Harris",Owen,Election,Negative
Harris says it is part of the American tradition for VPs not to criticize the president,"Vice President Kamala Harris on Friday steered clear of criticizing President Joe Biden, arguing that vice presidents not denigrating the commander in chief is an American tradition.",Owen,Election,Neutral
What Biden will do in his waning days,President Biden has less than 60 days left in the White House. Heres what he has planned.,Owen,Executive Affairs,Neutral
It Wasnt Me: Joyful Biden Touts Historic Presidency After Harris Humiliated,"President Joe Biden exuded joy Thursday in his first public address since Donald Trumps stunning victory over Kamala Harris, the candidate he reluctantly endorsed after Democrats forced him to withdraw from the race months earlier. The American experiment e",Owen,Election,Positive
"Harris says she rejects criticism of people based on who they vote for, after Biden garbage comment on Trump backers","Harris says she rejects criticism of people based on who they vote for, after Biden garbage comment on Trump backers",Owen,Election,Negative
Axios Reporter Says Bidens Communication Issues Prevent Understanding Of Garbage Remark About Trump Supporters,Axios national correspondent Alex Thompson on Wednesday said its sadly true that President Joe Biden is currently unable to communicate effectively.,Owen,Personality/Character,Negative
Elizabeth Warrens office: Biden-Harris and Congressional Dems saved 1.4 million union pensions,"The Biden-Harris Administration and Congressional Democrats saved the pensions of more than a million union members, many of which could have become insolvent in the coming year, according to a new report out of Sen. Elizabeth Warrens office.",Owen,Domestic Affairs & Policy,Positive
Biden deeply concerned after leak of apparent Israeli plan for attack on Iran,President Biden says hes deeply concerned about the leak of an apparent Israeli attack plan that outlines a retaliatory response to Irans launch of nearly 200 missiles at Israel on October 1. White House national security adviser John Kirby says its still,Owen,Foreign Policy & Relations,Neutral
How recent comments and controversies on both sides influence voters,"As both parties face backlash and public scrutiny, recent remarks by Biden and comments from a comedian at a Trump rally have become focal points in the final week before the election. John Dickerson breaks it down.",Owen,Election,Neutral
Joe Biden Says He Would Like to Take That Guy For a Swim Out There in Oddly Menacing Quip,"During remarks in Baltimore highlighting his Investing in America agenda, Biden noted that money from his Inflation Reduction Act would go to modernize ports in 27 states and territories. When he mentioned that it included Puerto Rico, he angrily said, Id",Owen,Personality/Character,Negative
Biden Calls Out Elon Musk Over Report That Tesla CEO Once Worked In U.S. Illegally,President Joe Biden has slammed Elon Musk for hypocrisy on immigration after a published report that the Tesla CEO once worked illegally in the United States.,Owen,Personality/Character,Positive
"He Never Completed A Sentence: Donors Worried About Bidens Mental State A Year Before Debate, Woodward Claims","Democrat donors worried about President Joe Bidens mental acuity in June 2023, according to a new book by Bob Woodward.",Owen,Personality/Character,Negative
Manitoba historian concerned residential school denialism will rise after Bidens apology in U.S.,"Historian Sean Carleton says residential school denialism is a strategy used to twist, misrepresent and distort basic facts about residential schools to shake public confidence in the stories of survivors, and in the process of truth and reconciliation betwee",Owen,Domestic Affairs & Policy,Positive
"Pocketbook issues strain, but dont always sway, Nevada voters","MESQUITE, Nevada - Families here, and across swing state Nevada, are ponying up an average of $1,196 per month more than they did before Bidenomics and its subsequent inflation took hold, the Congressional Joint Economic Committee reported in August. But in",Owen,Domestic Affairs & Policy,Negative
ROOKE: Trumps Greatest Campaign Surrogate Is None Other Than Joe Biden,"Poor Vice President Harris just wants to win the presidential election, but unfortunately, President Biden is too busy working to get her opponent elected.",Owen,Election,Negative
"What Would It Take for Israelis To Return to the North? The Biden-Harris Admins Lebanon Ceasefire Proposal Wont Do It, They Say.","KIRYAT SHMONA, Israel-Tens of thousands of Israelis have been waiting for more than a year for a resolution to the conflict with Hezbollah that would allow them to return to their evacuated homes in the north.But according to many of them, a Biden-Harris adm",Owen,Foreign Policy & Relations,Negative
How the Biden Administration Protected Abortion Pill Access-and What Trump Could Do Next,"Heres what the Biden Administration did to protect access to medication abortion, and what the Trump Administration might do next.",Owen,Domestic Affairs & Policy,Positive
Seven Years Of Trump-Biden Tariffs On China. Deficit Still $1 Trillion,One of the reasons former President Donald Trump started a trade war with China was to reduce the U.S. trade deficit with the world.,Owen,Foreign Policy & Relations,Negative
Democratic Houston DA slams Harris-Biden admins absurd catch-and-release border policy,"Houstons Democratic district attorney slammed the Harris-Biden administrations disastrous catch and release border policy Tuesday, saying it has unleashed hundreds of migrant criminals on the city.",Owen,Domestic Affairs & Policy,Negative
Biden Garbage Remark Causes Big Stink: Latest Responses,"Did Biden call Trump supporters garbage? He denied it, but the remark is still causing a big stink for the Kamala Harris campaign. Here are the latest responses to the apostrophe debate, which the Trump campaign quickly framed as deplorables 2.0.",Owen,Personality/Character,Negative
Tight House races make for crowded Most Vulnerable Incumbent list,Republicans from California and New York are well-represented because they dominate the roster of members who won seats in 2022 that in 2020 backed Joe Biden over then-President Donald Trump.,Owen,Election,Neutral
Nolte: CNN Exit Poll Shows Only 41% Approve of Biden; 58 Percent Disapprove,"Exit polls show His Fraudulency Joe Biden with a 58 percent disapproval rating, while his approval rating is just 41 percent.The post Nolte: CNN Exit Poll Shows Only 41% Approve of Biden; 58 Percent Disapprove appeared first on Breitbart.",Owen,Personality/Character,Negative
Biden to formally apologize for Indian boarding school system,President Joe Biden is slated to issue a formal apology on Friday for a government-run boarding school system that forcibly separated generations of Native American children from their families.,Owen,Domestic Affairs & Policy,Positive
Joe Biden Objects to One Migrant -- Elon Musk,"President Joe Biden has welcomed roughly 10 million economic migrants into Americans jobs and communities -- yet is now declaring dismay at just one migrant from 1995, South African-born Elon Musk.The post Joe Biden Objects to One Migrant - Elon Musk appear",Owen,Personality/Character,Negative
Biden hosts formal ceremony to celebrate federal support for Hispanic-serving institutions,President Biden hosted a formal ceremony to publicly celebrate his executive order establishing an initiative to increase funding for Hispanic-serving institutions.,Owen,Domestic Affairs & Policy,Positive
"In heart of Amazon, US President Joe Biden marks climate legacy","Rio de Janeiro - U.S. President Joe Biden began a historic Brazil trip Sunday, becoming the first sitting American president to visit the Amazon rainforest to mark what the White House calls his legacy on fighting climate change, couching it in economic ter",Owen,Foreign Policy & Relations,Positive
"Despite Denials, FEMA Funding Favors Illegal Migrants Over US Hurricane Victims","At every turn, President Joe Biden and Vice President Kamala Harris have used the Federal Emergency Management Agency to facilitate mass illegal migration rather than... Read MoreThe post Despite Denials, FEMA Funding Favors Illegal Migrants Over US Hurrican",Owen,Domestic Affairs & Policy,Negative
Biden apologizes for federal Indian boarding schools: One of the most horrific chapters in American history,President Biden on Friday delivered a formal apology from the government for the Federal Indian Boarding School Initiative that lasted until 1969.,Owen,Domestic Affairs & Policy,Positive
Energy Prices Shot Up 72% Thanks To Biden And Harris War On American Energy,There is hope for major reductions in energy prices - if American politicians will repent of their support for renewable energy.,Owen,Domestic Affairs & Policy,Negative
Biden tries to clarify confusing garbage comments as Trump and his supporters cry foul,U.S. President Joe Bidens supposed attempt to call out racist remarks by a speaker at a campaign rally for Donald Trump backfired as Trump and other Republicans accused him of calling their supporters garbage.,Owen,Personality/Character,Negative
Democrats Are Treating a Big Win as a Liability,They dont want to talk about how President Bidens policies have created an EV-manufacturing boom.,Owen,Domestic Affairs & Policy,Positive
"No, Certainly Not -- Tim Walz Denies Garbage Smear Undercut Harriss Unity Message","President Joe Bidens garbage smear does not undercut the Vice President Kamala Harris message of unity, Gov. Tim Walz (D) indicated Wednesday. The post No, Certainly Not - Tim Walz Denies Garbage Smear Undercut Harriss Unity Message  appeared fi",Owen,Election,Negative
Michigan 2024 Trump-Harris Polls: Harris Takes 3-Point Lead In Latest Polls,Biden flipped Michigan in the 2020 election.,Owen,Election,Neutral
How a Trump or Harris presidency could impact the future of AI,"Harris would likely build on Bidens approach and Trump be more hands off, but both need to balance the desires of their Big Tech supporters.",Owen,Domestic Affairs & Policy,Neutral
EXCLUSIVE: GOP Lawmakers Demand Answers From Biden-Harris Admin On Botched Rollout Of Huge Jobs Revision,Republican lawmakers slammed the Department of Labor for ignoring an oversight request regarding its botched release of employment data,Owen,Domestic Affairs & Policy,Negative
"Apology long overdue for U.S. Indian boarding schools, says former student","A former student of federal Indian boarding schools in the U.S. says Joe Bidens rare presidential apology was long overdue. They should have done it years ago, says 74-year-old Rosie Yellowhair.",Owen,Domestic Affairs & Policy,Positive
The Republican freakout over Bidens garbage gaffe is absurd,Trump and his allies are fixating on Bidens gaffe as he criticized Tony Hinchcliffe joke about Puerto Rico as garbage. But their narrative doesnt work.,Owen,Election,Positive
